Timestamp,EAR Value,Status,Total Disengaged
2025-03-10 22:36:45,0.39,Engaged,0
2025-03-10 22:36:45,0.39,Engaged,0
2025-03-10 22:36:45,0.4,Engaged,0
2025-03-10 22:36:46,0.4,Engaged,0
2025-03-10 22:36:46,0.38,Engaged,0
2025-03-10 22:36:46,0.38,Engaged,0
2025-03-10 22:36:47,0.38,Engaged,0
2025-03-10 22:36:47,0.38,Engaged,0
2025-03-10 22:36:47,0.38,Engaged,0
2025-03-10 22:36:47,0.39,Engaged,0
2025-03-10 22:36:47,0.39,Engaged,0
2025-03-10 22:36:47,0.37,Engaged,0
2025-03-10 22:36:47,0.37,Engaged,0
2025-03-10 22:36:52,0.39,Engaged,0
2025-03-10 22:36:52,0.34,Engaged,0
2025-03-10 22:36:52,0.34,Engaged,0
2025-03-10 22:36:52,0.34,Engaged,0
2025-03-10 22:36:52,0.34,Engaged,0
2025-03-10 22:36:52,0.35,Engaged,0
2025-03-10 22:36:52,0.35,Engaged,0
2025-03-10 22:36:52,0.32,Engaged,0
2025-03-10 22:36:52,0.32,Engaged,0
2025-03-10 22:36:52,0.32,Engaged,0
2025-03-10 22:36:53,0.32,Engaged,0
2025-03-10 22:36:53,0.35,Engaged,0
2025-03-10 22:36:53,0.35,Engaged,0
2025-03-10 22:36:53,0.33,Engaged,0
2025-03-10 22:36:53,0.33,Engaged,0
2025-03-10 22:36:53,0.33,Engaged,0
2025-03-10 22:36:53,0.33,Engaged,0
2025-03-10 22:36:53,0.36,Engaged,0
2025-03-10 22:36:53,0.36,Engaged,0
2025-03-10 22:36:53,0.32,Engaged,0
2025-03-10 22:36:53,0.34,Engaged,0
2025-03-10 22:36:53,0.34,Engaged,0
2025-03-10 22:36:53,0.36,Engaged,0
2025-03-10 22:36:53,0.36,Engaged,0
2025-03-10 22:36:53,0.34,Engaged,0
2025-03-10 22:36:53,0.34,Engaged,0
2025-03-10 22:36:53,0.38,Engaged,0
2025-03-10 22:36:53,0.38,Engaged,0
2025-03-10 22:36:53,0.38,Engaged,0
2025-03-10 22:36:53,0.38,Engaged,0
2025-03-10 22:36:53,0.36,Engaged,0
2025-03-10 22:36:53,0.36,Engaged,0
2025-03-10 22:36:54,0.38,Engaged,0
2025-03-10 22:36:54,0.38,Engaged,0
2025-03-10 22:36:54,0.38,Engaged,0
2025-03-10 22:36:54,0.35,Engaged,0
2025-03-10 22:36:54,0.31,Engaged,0
2025-03-10 22:36:54,0.31,Engaged,0
2025-03-10 22:36:54,0.27,Engaged,0
2025-03-10 22:36:54,0.26,Engaged,0
2025-03-10 22:36:54,0.25,Engaged,0
2025-03-10 22:36:54,0.25,Engaged,0
2025-03-10 22:36:54,0.26,Engaged,0
2025-03-10 22:36:54,0.26,Engaged,0
2025-03-10 22:36:55,0.26,Engaged,0
2025-03-10 22:36:55,0.25,Engaged,0
2025-03-10_22-36-55,0.24,Disengaged,1
2025-03-10_22-36-56,0.23,Disengaged,2
2025-03-10_22-36-56,0.23,Disengaged,3
2025-03-10_22-36-56,0.25,Disengaged,4
2025-03-10_22-36-56,0.23,Disengaged,5
2025-03-10_22-36-56,0.23,Disengaged,6
2025-03-10_22-36-56,0.23,Disengaged,7
2025-03-10_22-36-56,0.25,Disengaged,8
2025-03-10_22-36-56,0.22,Disengaged,9
2025-03-10_22-36-56,0.21,Disengaged,10
2025-03-10_22-36-56,0.22,Disengaged,11
2025-03-10_22-36-56,0.23,Disengaged,12
2025-03-10_22-36-56,0.23,Disengaged,13
2025-03-10_22-36-56,0.25,Disengaged,14
2025-03-10_22-36-56,0.23,Disengaged,15
2025-03-10_22-36-56,0.23,Disengaged,16
2025-03-10_22-36-56,0.23,Disengaged,17
2025-03-10_22-36-57,0.22,Disengaged,18
2025-03-10_22-36-57,0.21,Disengaged,19
2025-03-10_22-36-57,0.23,Disengaged,20
2025-03-10_22-36-57,0.23,Disengaged,21
2025-03-10_22-36-57,0.21,Disengaged,22
2025-03-10_22-36-57,0.25,Disengaged,23
2025-03-10_22-36-57,0.22,Disengaged,24
2025-03-10 22:36:57,0.26,Engaged,24
2025-03-10_22-36-58,0.24,Disengaged,25
2025-03-10_22-36-58,0.21,Disengaged,26
2025-03-10_22-36-58,0.21,Disengaged,27
2025-03-10_22-36-58,0.25,Disengaged,28
2025-03-10_22-36-58,0.23,Disengaged,29
2025-03-10_22-36-58,0.24,Disengaged,30
2025-03-10 22:36:58,0.25,Engaged,30
2025-03-10 22:36:59,0.26,Engaged,30
2025-03-10 22:36:59,0.26,Engaged,30
2025-03-10 22:36:59,0.25,Engaged,30
2025-03-10 22:36:59,0.25,Engaged,30
2025-03-10 22:37:00,0.27,Engaged,30
2025-03-10 22:37:00,0.32,Engaged,30
2025-03-10 22:37:00,0.32,Engaged,30
2025-03-10 22:37:00,0.34,Engaged,30
2025-03-10 22:37:00,0.34,Engaged,30
2025-03-10 22:37:00,0.34,Engaged,30
2025-03-10 22:37:00,0.35,Engaged,30
2025-03-10 22:37:01,0.38,Engaged,30
2025-03-10 22:37:01,0.37,Engaged,30
2025-03-10 22:37:01,0.37,Engaged,30
2025-03-10 22:37:01,0.37,Engaged,30
2025-03-10 22:37:01,0.38,Engaged,30
2025-03-10 22:37:01,0.38,Engaged,30
2025-03-10 22:37:01,0.38,Engaged,30
2025-03-10 22:37:01,0.38,Engaged,30
2025-03-10 22:37:01,0.4,Engaged,30
2025-03-10 22:37:01,0.37,Engaged,30
2025-03-10 22:37:01,0.37,Engaged,30
2025-03-10 22:37:01,0.39,Engaged,30
2025-03-10 22:37:01,0.38,Engaged,30
2025-03-10 22:37:01,0.38,Engaged,30
2025-03-10 22:37:01,0.38,Engaged,30
2025-03-10 22:37:01,0.37,Engaged,30
2025-03-10 22:37:01,0.35,Engaged,30
2025-03-10 22:37:01,0.35,Engaged,30
2025-03-10 22:37:01,0.28,Engaged,30
2025-03-10 22:37:02,0.25,Engaged,30
2025-03-10_22-37-03,0.11,Disengaged,31
2025-03-10_22-37-03,0.1,Disengaged,32
2025-03-10_22-37-03,0.14,Disengaged,33
2025-03-10_22-37-03,0.14,Disengaged,34
2025-03-10_22-37-03,0.12,Disengaged,35
2025-03-10_22-37-03,0.16,Disengaged,36
2025-03-10_22-37-03,0.17,Disengaged,37
